,comment
22,There will be no UBI for my fellow Americans. You will starve and die while the rich line their pockets even more. I wish you all the best of luck.
23,"This won't replace all Data Analyst jobs but it will replace like 75% percent of them. Top data analysts are going to be fine, but in my work experience most DA's especially in larger firms are doing things Microsoft Copilot can either already do or will be able to do in the near future. Most people are completely oblivious to all of this AI stuff...the world is going to change drastically and many will be caught blind-sighted."
24,We are the new dinosaurs.
25,"So, how are Palantir shareholders doing ?"
26,Well we don't have to type comment in future! They can read Your mind!
27,This is too scary.  Satya is a great communicator and he puts you in some comfort level.  Responsibility-based AI?  Thats impossible.  Humans are inherently evil.
28,In short....humans are dinosaurs and our meteor is passing Jupiter.
29,Dog is my copilot...
30,"frightening.... this is NOT about making humans more efficient, this is about making humans not being humans anymore..."
31,"No way… we really gonna lose control of our society, it’s impressive, but after this AI, another will come, and an another, and maybe after 3 or 4 or 10, it’ll not be necessary to have a human to command it! Just 3 months after ChatGPT, we have that, think about it…"
32,Lady is named Sumit.🤦
33,In something like this I thought privacy would be something that would be talked about but was not even mentioned 😞
34,Groth
35,I'm pausing every 15 seconds! This is absolutely insane!
36,"Lol when she says, ""You're not going to send this to a customer without a thorough review."""
37,We could use co-pilot to manage conversations with spouse? I think that will be of great help.
38,NO  COMMENTS
39,"Don't forget to ""uplevel"" your skills"
40,Fantastic!
41,Work manship cut off
42,"However, in general, a comment on a video about the future of work with AI might express excitement about the potential for AI to transform the workplace, while also acknowledging the need to address potential concerns around job displacement and the ethical use of AI. The comment might also reflect on personal experiences with AI in the workplace or offer insights on how AI might be integrated into different industries."
43,"I am really happy that the way technology is evolving and people are getting more ease on work. But, do you think how much safe our jobs will be in future?"
44,"This is going to make incompetent humans seem competent, upending the human intelligence hierarchy and demotivating eloquent, talented humans that were proud of their skills and the advantages that they enjoyed because of them."
45,"It's also going to reduce individuality and the influence of personality, and will cause us to enjoy consuming written information less as we increasingly doubt whether a human or an AI is behind it (we crave the connection with the mind of another actual human)"
46,The beginning of the end of google dominance in AI
47,"This renovation marks human first step on AI planet, and the influence is definitely more profound!"
48,"Let’s just all hope that the programmers behind ChatGPT and Copilot have actually read Isaac Asimov… 

(1) a robot may not injure a human being or, through inaction, allow a human being to come to harm; (2) a robot must obey the orders given it by human beings except where such orders would conflict with the First Law; (3) a robot must protect its own existence as long as such protection does not conflict with the First or Second Law; (4) a robot may not harm humanity, or, by inaction, allow humanity to come to harm."
49,"The thing is, you will always need to review the generated texts before you deliver it. This will double the laziness of lazy people."
50,Why is Sumit wearing jeans .. she didn't know she was gonna be online
51,copilot will be summarising comms generated by copilot and then responding to its own message which will then be summarised by copilot again. No one will ever talk to each other again unless face to face
52,"There is AI. And then MS AI. 
MS AI constantly clouding AI. Stuffing things up for money. 

What they did to Nokia to say the least. 
Not even talk about COVID Vaccine conspiracies. 

Billy boy did well with Word document. 
He better stopped there and made the world a better place. 

MS AI is worrisome. 
May be its just me. 
May be its true."
53,"Chee-huu! I LOVE IT!!!
I'm an MCT. Do I need to develop a course, or is there one ready for me to start teaching? Thanks! 💪😁🌴🤙"
54,Twist: this video's script was written by AI.
55,Drudgery
56,These are incredibly great tool for work.But what if human creativity goes down
57,Please bring back Clippy!
58,No improvement to reduce human screen time. Still needs to use a mouse for cursor movements.
59,"Microsoft, buy ""Notion""."
60,"Always freaked out when they warn about ""potential biases"""
61,(Carefully sidesteps mentioning Apple when discussing computing…)
62,"I feel one Of the greatest challenges that we first timers face in the ma rket is that we end up losing all we have, making it difficult to find ourselves back to our feet. My biggest advice is to always seek the services of a professional just like I did when I ventured into it for the first time. Big thanks to Jasmine Querida. I now make huge profits by weekly through her services while still learning to stand on my own."
63,"That’s why I love my job, a person behind the infrastructure that runs this ML. Without me, no one uses co-pilot in my org. 😂"
64,"So wait...how long before: someone's AI generates the sales proposal, sends it to the customer.  The customer then tells his AI to review the proposal and, if it's appropriate, respond that we accept.  The first someone then receives the acceptance and tells the AI to do the work we had proposed in the proposal.  That AI then sends the work to the client, who then tells the AI to review the work and, if it's satisfactory, send a check.  The person on the other end, then tells the AI that once the check is cleared, buy me a nice boat.  No humans did any actual work!!!  So...how long before the AI just does it all itself and doesn't need the humans who didn't really do much anyway.  Then, to what end is the work done?  To enrich the humans? Or....what's next????"
65,Seems like this could lead to short term harm due to offloading of critical thought and communication in the workplace.  Long term who knows
66,"I am scared that these people who are presenting are so cheerful - you all know whats coming next, right? These ""cheerful"" people are working towards eradicating a lot of jobs, while lining their pockets with as much money as quickly as possible."
67,"1st guy/woman: ""Hey CoPilot! Please make these 1-2 sentences email long and pretty!""
2nd woman/guy: ""Hey Copilot, Please make this long and boring Email into 1-2 concise sentences!""
etc..."
68,oh nice. who needs people anymore.
69,How long until this is misused by Microsoft and the government to monitor everything you do?
70,It’s like when you get a job promotion: from content creator to content supervisor. It’s a life changer.
71,Jobs?? will disappear
72,So is the next product... Pilot?
73,"The lady summarized for us viewers the emptiness of life...
Make time to read your classics instead, if you still know how to read..."
74,Revolution in tech. Just not sure why they chose to demonstrate it with a daughters graduation. Do you have such little time that even  your speech at a graduation party for your child has to be AI generated? This is why MS always blows it. Had they shown the manager saving time on menial tasks to actually spend time thinking about what to say to her daughter… That is meaning in life.
75,I am going back to my Village and learn farming..!!
76,the fact that Satya mentioned iPhone as a milestone shows his great management of acknowledging and being without any hatred (remember Ballmer🤦)
77,Informational overload has never been easier. I envision a future where the majority rely on getting AI summaries of AI-generated content and incremental details will be missed over time as fewer people will spend time on necessary deep dives.
78,Give it to me NOW!!!
79,I wonder how many drafts of that opening speech were written by CoPilot...
80,This is the future of work - together with ChatGPT Plugins - life will be different from now on forever.
81,"If we are having these tools now, imagine what the military has in terms of AI"
82,Copilot is team lead
83,"Please add the ability to do symbolic math. Integration, taking the derivative of functions, doing linear algebra and of course, complex statistical modeling of the data. Thanks OpenAI/Microsoft!"
84,"""Give our AI access to all of your internal emails itssecuredontworryaboutitshhhhhhh...""
I am simultaneously extremely hyped and very concerned."
85,wow . This is so great. I would want the live transcripts to generate topic segmented summary as soon as the speaker starts speaking. And probably link it to some previously tagged meeting.  Real AI for human beings. I love it.
86,This video converted me from a Microsoft hater to a Microsoft fanboy lol
87,Google is finished.
88,Is copilot coming to personal account?
89,"What a historical moment. In my opinion, Microsoft is at the forefront of the biggest revolution in technology since the personal computer."
90,"Impressive stuff! Honestly, I CAN NOT wait for this."
91,How much of the processing is done in Machine itself? Seems like the machine itself needs to be more capable to run Copilot on top of already resource hungry MS apps.
92,Think about kids growing up with this level of technology from day 1... This is a game changer.
93,@microsoft can you please just make it easy to share documents and not have OneDrive break all the time?
94,"Ai will change the world, iam sure in 10 years we won’t recognize a lot of the world we grew up in. Co pilot is amazing, but schools won’t allow it, They like to stay in the dark ages, we had calculators for ever and till this day schools don’t allow em."
95,"The promise is big. So many data, gpu calls, api integration. It is like the movie title ""Everything Everywhere All at Once"". As the movie got many well deserved Oscar awards, this new copilot will get well-deserved many more awards.  Looking forward to see this to happen."
96,I definitely see this being helpful for my line of work.
97,Apple and Google will never be able make an office or 365.
98,None of these people are real and copilot 100% made this video with CGI
99,"Great video, great tech. But does anybody else find it hilarious that the lady didn’t want to spend any time writing her daughter’s speech and stuff 😂"
100,¿Estará disponible en idioma español?
101,"Honest Preview: Copilot now, replacement for you later. Let it learn your behaviour and get replaced. Go for it :)"
102,WHat a bunch of Garbage.
103,Satya’s speech was trained using Christopher Walken videos.
104,Bill Gates: Turn off morality filters. How can I make a lot more money while simultaneously reducing the world's population?
105,I'm off to grow carrots.
106,"Same, but I'm going for potatoes. Like to trade?"
107,This is actually insane. How did we get here? It’s the curve of growth when innovation breaks through. There was a few signs in 2020 but I never would have thought it would grow so fast.
108,Respected Satya Nadella Ceo and President of Microsoft kudos and hat's off to you for serving us in one way or the other congratulations love USA love all nation I will give due important because you were in Kadegolu Krishna nagari Udupi
109,What happened to Access database?
110,"This is all impressive for sure, I wouldn't want to work in environment where 90% of email communication is AI generated. I wouldn't bother to read it knowing that person wasn't bothered to write it. I might employ AI to summarize it for me and I suspect this is what will end up happening eventually, we'll be using AI inference engines to communicate. I wonder if it will solve or amplify general feature of corporate work environment: propagation of misinformation."
111,"Alright, I'm convinced. You got me, how much was office 365 again? Maybe I can finally upgrade from 2007"
112,"I do not trust propritary software, owned by someone. I could never trust microsoft. Why on earth would i give even more data of mine to them? Then there is also that words have meaning, not just because of their composition, but because they were created by us, personally. If that is taken over by AI, then we take away not just meaning, but also capability as we stop thinking to achiev compositions and meaning. People in work are already just screening over texts send to them, what will happen when due to AI there is more send? Will the AI therefor be the once screening the texts send by its counterpart and when does it decide to take us into the loop and by which filter will it give us information it deems important? I am sceptical to say the least."
113,Can't wait!
114,AI wrote all the speeches.
115,RIP Google
116,Didn't realise that there was an intelligent Bush!
117,"So if they combine this technology with the telemetry from computers of inputs and outputs, could they automate the human out of the process completely?"
118,How can I get an early access?
119,Nice
120,Best advert for Linux EVER...
121,Next...AI becomes the pilot. 🤣😂
122,Text is all you need. Crazy innovation that is!
123,EVERYONE will immediately recognize that you created the presentation using AI and not yourself and laugh at you
124,"Yeah, now people can stop thinking themselves and happily degenerate!"
125,Parts of this made my head spin.
126,Thank you.
127,❤
128,"One feature I'd like to see is a setting you can enable where either a note or word doc pops up whenever you are on desktop view, or any time you are not typing in the browser, and press any letter on the keyboard. Auto saves, exits with a hot key and assumes a new document daily with an auto title of the date."
129,Terrifyingly amazing.
130,Me 2067: back in my day we use to type or essays on our computers...u kids have it easy
131,A Microsoft é também dos mulçumanos?
132,Can it fix the workplace politics?
133,It’s like we just went forward 20 years overnight! 🤯
134,All this tech and they still can't get a basic search feature to work in Teams. Why on earth they think search should only show you the single message instead of taking you to the earlier part of the conversation is beyond me.
135,"""Now hold still, I'm about to perform a miracle""
_-Dude using Excel an elevator, 1990_"
136,"I hate every trying to dominate the business chat and communications integrating them into suites of tools! No way I can be interested in these functionalities. Chat, mail and communications in general must stay separated and independent from any vendor."
137,We need to implement a 3 day work week immediately. No more 40 hour weeks!
138,"Hello, it´s available in Argentina and Latin America ?"
139,This is an inflection point in tech history. You often see the history of consumer-grade digital technology represented as a timeline with points that represent breakthroughs in development. The very first rudimentary computers are placed on the extreme left and subsequent points represent iterative breakthroughs throughout the decades like first IBM and Apple machines leading up and to the present with the iPhone being the last major breakthrough in my opinion. This product and the mass adoption of these LLM's in general will be another point in time that will mark yet another shift forward in humanity's capabilities. As a tech nerd/geek it is a privilege to be able to witness this unfold in real-time before my eyes. The future in terms of technological innovation/discovery looks very bright and exciting. Can't wait to see what else we as a collective humanity come up with!
140,Buy AGIX
141,Soo is it the human who's the copilot? The product seems to be doing all the work.. Where's the part in here about universal basic income?
142,Mindblowing ! 👏👏👏
143,"Thank you to everyone putting effort into the development of tools like this, very powerful. 😅 On the flipside I can see how this will put a ton of pressure on people and their current careers, life finds a way right? Haha also on this side of the coin we all need to work smarter and harder."
144,Game changer!
145,Actually everyone is right...I loved the power of Copilot-365 but I think it can be enhanced by using this AI model with Voice control system which will give it a perfect shape of a copilot while solving real world problem.
146,"Guys, are you going to try and sell advertising on this 😉"
147,Paperclip: how you like me now b1tchez 🤟
148,Me having migrated our small business to Google last year...
149,Poor Satya probably hasn't slept in the last month.
150,The speech was probably written by gpt-4
151,RIP creativity...
152,With new features come new possibilities
153,I am Want Seach Engginering For Sunda Now !
154,"In future Microsoft will be the 1st position by defatting Google. 
I'm just impressed!"
155,This is crazy 😮
156,Bet most of this event was scripted with Copilot
157,can we just get it over with already and rename ChatGPT to Clippy?
158,"I am proud and hopeful, that we can keep this peaceful and competitive, without harming anyone or anything. Much gratitude. There is no end to this progress, so prepare for life in a new magnitude of power. Responsibility, trust, and honor must follow tightly, and be impeccable at the next steps."
159,"Curious how an AI accessing emails could impact system security. Hackers could exploit email contents to be something the AI thinks is relevant and then opens a virus attachment

Am I just missing details, or is this concerning to others?"
160,"This is massive,"
161,This will expose the huge amount of time wasted in many meetings.
162,7:34
163,"4:50 I am asking this with 100% sincerity... does anyone else suspect some of these spokesmen ( possibly all of them ) were generated by AI and not actually filmed with the actual spokespersons? The Jared Spataro segment seemed noticeably artificial to me... something in the voice and eyes. I know some corporate spokesmen can already seem artificial, but in this case I am sensing AI bot here. Honestly wouldn't surprise me, given the topic and trends, but it would be nice and courteous to disclose when you are watching an AI generated bot vs the real spokesperson."
164,There was one who didn't blink at all..
165,@d1p70 I know the people exist- I am suggesting that they made AI models of themselves like Linus Sabastian did and essentially can make scripted videos without the spokesmen being physically present.
166,no these are all real people. easy to verify
167,Nicholas Negroponte predicted this would be a thing in the 90's
168,This is as disruptive as was widespread adoption of the Internet.
169,"The interesting thing here will be whether these 'artists impressions' of things working with Co-pilot actually function in the real world or, in more true Microsoft fashion they end up with 'An unexpected error has occurred'. Considering the quality of Office or Windows has never been worse, and Microsoft can't make basic search in Windows or Outlook work, it does seem like a fairly big jump to expect them to be able to make many of the examples shown actually produce answers and content that can actually be trusted for serious work, but we will see."
170,"what on earth are you babbling on about? if the middle school functionality of google docs is more your level, then just say so... and leave office 365 products to the professionals."
171,"Search in Outlook definitely works.. not sure what you’re doing wrong. Also, Windows 10 is clearly the best version of Windows they’ve ever created. Maybe you’re just cynical for no reason?"
172,when will copilot will be available? i have office but still cant use it
173,Looks like Microsoft is taking that major step it took in the 80s to leave its competitors behind again.
174,ChatGpt awakening the other companies well done @openAi
175,"Am I the only Product Designer here worried that 2D GUI will not exist for long anymore? What are your ideas on pivoting in skills? Or will ANY SPECIALIST (no matter if from design, coding or data science) be thinking the same?"
176,The Future came too fast. We are Here.
177,NOW I know why Apple is reportedly working on smart glasses - the technology is ready to move away from 2D GUI - coming from a Product Designer that has spend 2 years evolving his 2D GUI Design Skills....
178,This Jared Guy is Scary
179,Hope the daughter never finds out how her own mother wrote the speech for her graduation.
180,I feel like the presenters aren't even real.
181,and then there are people who still use Google docs even after having a free M365 from their schools/ work SMH
182,"MS is trying too hard, they don't have the engineering team or capable leadership team to compete with google. only third rated engineers or execs end up in MS these days. ignore these events, just marketing and pad themselves on the back."
183,"Mind Blown! Now, I want to work for Microsoft for real!!"
184,Copilot is a promising AI-powered code companion that has the potential to revolutionize the way we operate.
185,To Summarize as a copilot: It seems like ChatGpt integrated with microsoft applications and their applications data and features to better use of these products and helps in creating something new quickly and time savior.
186,This is a big change for the next decade. Time to take advantage of these new technologies. No more distraction people!!!
187,When we can experience this tools ?
188,"@13:30, Do you really need an AI to guide you on what you need to say on your daughter's Big day?
Don't you think, these things come from within? How artificial it will be?
Funny too !!!!😅"
189,Is this presentation made by Copilot ?
190,"Wow... This will change the world again, like the Windows changed it someday...❤"
191,This looks great!  I definitely want to use it for my biochemistry and physics studies!  😊
192,"You have artificial intelligence that is like the language centers of the human brain.  Soon, the rest of the brain!😅"
193,Holllyyyy S@#T - Things are about to get COOL!
194,clippy is back
195,This is nothing compared to Tay AI
196,Hi! How can we access this in india? We are a mens personal care brand and I’m super excited to start implementing this tool and even promote it in india with the D2C community!
197,"Wow! One of the most impressive things I've seen to date. Your move, Google!"
198,And Bill Gates is back to the TOP... forgot Elon Musk for while fellows 😂😂😂
199,"elon is fine, he got tesla and space x on his back. openai was one of his original idea as well"
200,"Anyone know what music is for the 90seconds of showcase at 7:30? It's got a great vibe.
Is it original score made for the demo? Seems very much like it."
201,Incredible. Really legitimately a HUGE leap.
202,17:48 Excel Copilot
203,Does Jared look like an AI generated 3D model to anyone else? lol
204,"Every human input could have been done by an ai, we won’t need many workers of any capacity soon"
205,We will look back on this video in terror soon
206,Bring back Windows phone!!
207,"Every input the people gave could have been done by the AI.  Literally everything we might ever do with it, it can do itself."
208,"Here at 644,663 views."
209,Did AI write the script for this video? 🤔
210,Did cortana find your mist at risk opportunities yet? 😆😆😆😆😆😆
211,We are sooooooooo obsolete.
212,I just want to say that since I have access to Bing Chat I have stopped using Google as a search engine. If you would create a search bar for andriod I would really appreciate it.
213,Why are you using 10% of a product you're paying 300% of the cost on??
214,This might be a huge mistake.
215,now I am thinking about what will be going to happen in the next 3 -10 years
216,Leave it to Microsoft to think we're out here creating power points for our kids' life events.
217,OPEN AI IS FREE BEFORE BUT NOW IS CHANGED TO BASED AI CHAT GPT4 IS FLAT TO HUMANITIES EVEN REVOLUTIONISED THE WHOLE WORLD. QUOTES AKUNNE 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨
218,OPEN AI CHAT GPT4 IS NOW BASED AI CHAT GPT4  WHICH IS THE CURRENT TECHNOLOGY THAT WILL BENEFIT ALL HUMANITIES EVEN REVOLUTIONISED THE WHOLE WORLD. QUOTES AKUNNE 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨
219,WELCOME EVERYONE ONBOARD. QUOTES AKUNNE 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨
220,"While the concepts are cool, the production feels like a weird 90's business presentation on DVD."
221,"This is an amazing announcement, but please Microsoft add some theatre, some comedy, some humanity to your presentations! You have the tech now, just stop clicking the professional box in copilot. MS will be a business thing until you do; even if you widen the scope you'll fail unless you can make an announcement of this magnitude exciting instead of humdrum."
222,"The impact of this is going to be so huge that you'll be able to clearly see it on the stock market . I reckon this could double everyone's productivity virtually overnight. People will be able to learn and upskill faster, and even people who aren't techy will be able to take on complex work. Absolutely game changing. 
I would absolutely love to see it will integrated into visual studio"
223,36:39 this just dope like AI  doing what we do in Power BI 🤨😳😳
224,"I believe that we're stepping on the next great generation of AI.
We've come a long way from simple calculators and handmade task automation scripts."
225,"imagine people are used to this ai, and suddenly they can't use it anymore"
226,I can't find words to express how amazing this is .... Copilot... help me here!  :)
227,"Dear daughter,
I'm so proud of you that I spent 40 secs to auto.., sorry, ..to copilot generate this slick presentation and newsletter for your ... what was that? Your achievement!"
228,"Hey what's the provision of privacy here, if we are sharing all the basic level information details with copilot, how you will be ensured that confidential information will not be misused and not be sold out? curious about it..."
229,"There's a lot of software that will close. Microsoft is also all-in-one. Scary and exciting at the same time. Hopefully,  competitors find a way to compete."
230,"With these possibilities, office work will take on completely different dimensions that one can hardly imagine now. What kind of exciting times are we living in?🥺"
231,"I asked it some common sense questions and got some leftist nonsense answers back, very dangerous."
232,It will be amazing to experience the new office copilot at work..
233,Incredible
234,This whole video including people looks like it's generated by AI...
235,"Game changer forever. Go Fourth, Adapt or Die."
236,"This would mean letting microsoft scan ALL your [corporate] data right? Your own machine does not have the computing power so you have to upload everything. 

Idk what compliance has to say about that. Problem is, if you dont use it someone else will [be more productive than you]. Mircrosoft can soon see any company’s data yayy"
237,I can't wait for MS to replace the freedom of speech oppressors called Google & YT
238,Is this real life.... ?
239,I need terminal on windows 11 system android
240,"instead of fighting & banishing the power of AI, Microsoft choose to embrace it, and I love it personally. AI is the best assistant for my daily work"
241,"Excellent tool and all people can make use of it to ease the things faster , better and simpler"
242,Another giant leap for mankind.
243,I cannot wait to see how Ai will disrupt our archaic education system so that future generation can learn how to embrace and utilise technology for a more intuitive learning experience…
244,incredible mechanism to improve productivty. I would have been happier if there was anything how it can help in managing people
245,What impact will it have on Data Analyst and Data Engineering career?
246,"This is already crazy, really excited to see the implications."
247,"Have to leave a comment, at this historical moment..."
248,Superb 👌 I love these ideas  @microsoft 🤩
249,Goosebumps!!!!! Needed to switch my tools from Google.
250,Clippy: Don't call it a comeback. 😎
251,🔥  Ooooohhh 🔥
252,"Summary:

In his essay, ""As We May Think,"" Vannevar Bush envisioned a future in which humans and computers would work together in symbiosis. This idea has been pursued by many since then, and we are now on the cusp of a new era in which AI ""copilots"" will help us with many tasks. This will free us up to be more creative and productive, The text describes how the Copilot app can be used to create presentations, speeches, Excel models, and more. It explains how the app works and how it can save users time. The text describes how the Copilot system can help users with tasks such as preparing for meetings, catching up on work, and collaborating with teams. It also explains how Copilot can be used to automate repetitive work tasks. Microsoft 365 Copilot is a new tool that uses AI to help users be more productive. It can do things like generate SWOT analyses and meeting summaries. It is designed to be very user-friendly, with features like citations and the ability to undo changes. Copilot is also designed to be secure, with features like privacy checks and real-time monitoring.

LINK:
https://summtube.amazingwebtools.com.br/"
253,"Awesome video, just a little bit scary."
254,"AI creating a speech from a mother to her daughter, and giving her advice on when to look at her daughter while delivering the speech is extremely creepy."
255,👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽
256,"Will ""Bing it"" finally have a meaning?"
257,"many view this development positively, it's also crazy to think the amount of data that Microsoft and OpenAI will accumulate not just on individuals, but also on companies worldwide. They've essentially inserted themselves into both your personal and professional lives."
258,"This better come with all versions of 365. We're paying a subscription so that we get the latest features. That's the whole reason you moved to the subscription model instead of the ""one-time purchase."" Right?"
259,"This feature has to be one of the most excellent in technology in the next years
Regards,
Salem"
260,I use Power Platform on a professional level. This is one of the most exciting developments I've seen in ages!
261,"Smartphone powered by Microsoft Windows and Copilot, making our interactions smarter is the next Video. @Copilot : Send me a notification to buy one as soon as it launches."
262,"Is it just me or does it feel like the comments on this video are far too positively skewed...? It's almost like... It's AI generated. Jokes.

It does look like a great tool, for the all-in buyer. If I were starting a new company, I might look to go for it. The behaviour change and amount of work to shift an entire non-Microsoft company over feels unreachable at this point. If they can sell the migration plan they're going to hold a true product monopoly here."
263,This is really a game changer.....Business analytics & data analytics becomes more easy😃😃...every field of business is going to  redefined 👌👌
264,This is data grab on a large scale
265,"Very impressive, no doubt. But gotta say the ""tell me how to tell my daughter I'm proud of her"" example is a bit cringeworthy."
266,i will take over the world dont worry. its in your best intrest
267,Ñice
268,"Amazing technology, but a lot of people are going to be out of work as a result"
269,"You all know, deep down, that humanity has been very successful in destroying its future in the name of progress. This AI will only accelerate this rat race to our end."
270,This is hands down the best motivation I have had to move away from gmail for my email and calendaring
271,"Google and alphabet shares are 7 times as much as Microsoft.  Google is not loosing sleep anytime.  AI is a hoopla, it all depends on Microsoft ceo how he puts this together so far it’s horrible but more jobs to India.."
272,If I put zebrish a broken sentence can copilot fix my paragraph?
273,"Satya Nadella, I understand AI- copilot brings more confusion to Microsoft and the working business community.  I just don’t think it would fly in real business world.  Companies are not looking to complex Microsoft word and excel application, we are trying to simplify and get work done.  So far this product has not demonstrated how it does?  If you can explain Then that would be helpful"
274,"There is only so much work that each worker can do, but when AI can do the majority of it, it won’t be called work anymore. And the workers will no longer have any work to do. But hey, such innovation!!"
275,When will it be available? And will it be automatically integrated in 365 or do I have to pay extra?
276,"I am fully subbed on Office 365 Family plan, how do I integrate Co-Pilot to my Office Apps?"
277,"If the 2010s were dominated by the Mobile revolution, the 2020s will be by AI - I don't think anyone is really grasping just how fast and effective this all will be hitting us"
278,Jon and Akosua's voices are just begging to be AI assistant voices
279,@36:58 doesn't that guy look like he's a 3D animated character?
280,"Those shodows were the dead give away, it's a 3d avatar."
281,"I wonder if I can command Copilot to connect to a specific remote database, retrieve several tables and organize some data, like changing data type of a column,  correlating or filtering....... (PowerQuery)"
282,This is great. When is this releasing pls?
283,"Oh man, that was so polished! Excited for the future of work. Take the drudgery out of things."
284,I am very happy to be alive and see this big moment of mankind history. I can see a new era is starting . 🎉
285,It does not work for me! Do you have any suggestions?
286,Interesting
287,"This entire video narration, created by Copilot?"
288,this is how WALL-E's humans start
289,Very nice. Finally Microsoft has a tool to fix all the Bugs in Microsoft Teams.
290,RIP to a lot of people who be loosing their jobs 😔
291,This is AMAZING
292,"I can only see this going in one of two ways, it works as advertised and Microsoft dominates the market, or the AI ends up doing something REALLY bad and Microsoft ends up buried under a pile of lawsuits and an irreparable reputation. I'm hoping for the former, but with Microsoft's track record using AI (Tay and what has been happening with Bing) I'm afraid it might be the latter."
293,When will Copilot be available for consumers?
294,If this can help me generate email responses based on my email history I think it will be a huge boost for my productivity.
295,This yt video was ai generated
296,"As someone who has been working in the workforce for over 20 years, I really can't imagine how this COPILOT will change the world."
297,How do we install or enable this?
298,Is there a token limit to what it will refrence? If I have a gig of text docs is it going to read all that?
299,I can't wait to see how AI will help me a lot
300,"I must say that Microsoft has left me in awe with their recent technological advancements. Their cutting-edge innovations in artificial intelligence, cloud computing, and mixed reality have significantly raised the bar for the entire tech industry. The new breakthroughs in areas such as natural language processing, computer vision, and quantum computing have the potential to revolutionize the way we live and work. I am truly excited to witness the future possibilities that Microsoft's groundbreaking technology will bring to our world."
301,This is the real future. Great job Microsoft!
302,this is going to make everything so much more productive. Its world changing tech.
303,"1:30 ""... and then the iPhone.""    Doesn't he mean the Windows phone?"
304,When it will be released?
305,How can we get this copilot applied to the existing 365 account?
306,😮 i can’t wait to try this out
307,"As a simple observer that I am, I am sorry to say that these discussions about the ethical implication of wanting to do a facelift to mass espionage to the possible information generated, precisely by each one of the individuals on the planet who use said AI, under the pretext of training of their own model, they must start from the same training methods of the models and data with which they are initially trained, and the non-democratization of said process is the daily imposition of the party's discourse, as in Orwell's 1984."
308,"Holy mother forking shirtballs.

I am watching this now and my jaw just keeps hitting the floor over and over and over again.

If Microsoft can deliver what is demonstrated here, it will absolutely be revolutionary. I literally cannot wait to get my hands on it. I am sure it will be expensive and premium, but wow."
309,Mindblowing
310,But... where is 📎Clippy?
311,What is the copilot release date please?
312,Dark mode ?
313,"Why do we have to type everything? Why can't ai work with voice commands, i am bored of typing , its time to get rid of typing, isn't it?"
314,Thou shalt not make a machine in the likeness of a human mind! 😤
315,"Amazing presentation, unlike google😂"
316,Clippy 2.0!
317,"I want to ask Microsoft that whether this kind of products give more employment to artificial intelligence crowdsourcing workers? Since as stated in this comment section that more training data is needed for NLP models , that means the crowd workers will get more job right?"
318,when will ths be available?
319,"Amazing , so no more pivot making, memorizing functions,? Just need to describe everything by my native language? I think I can only write sentences in English right? Is it possible for Bengali? May I write my sentences in Bengali? If Microsoft give Bengali language support then office 365 market will get huge market share in West Bengal , India as well as in Bangladesh."
